year	month	day	Sunrise
2005	04	14	06:22
2005	04	15	06:20
2005	04	16	06:18
2005	04	17	06:16
2005	04	18	06:13
2005	04	19	06:11
2005	04	20	06:09
2005	04	21	06:07
2005	04	22	06:05
2005	04	23	06:03
2005	04	24	06:01
2005	04	25	05:59
2005	04	26	05:57
2005	04	27	05:55
2005	04	28	05:53
2005	04	29	05:51
2005	04	30	05:49
2005	05	01	05:47
2005	05	02	05:45
2005	05	03	05:44
2005	05	04	05:42
2005	05	05	05:40
2005	05	06	05:38
2005	05	07	05:36
2005	05	08	05:35
2005	05	09	05:33
2005	05	10	05:31
2005	05	11	05:30
2005	05	12	05:28
2005	05	13	05:27
2005	05	14	05:25
2005	05	15	05:23
2005	05	16	05:22
2005	05	17	05:21
2005	05	18	05:19
2005	05	19	05:18
2005	05	20	05:16
2005	05	21	05:15
2005	05	22	05:14
2005	05	23	05:13
2005	05	24	05:11
2005	05	25	05:10
2005	05	26	05:09
2005	05	27	05:08
2005	05	28	05:07
2005	05	29	05:06
2005	05	30	05:05
2005	05	31	05:04
2005	06	01	05:04
2005	06	02	05:03
2005	06	03	05:02
2005	06	04	05:01
2005	06	05	05:01
2005	06	06	05:00
2005	06	07	05:00
2005	06	08	04:59
2005	06	09	04:59
2005	06	10	04:58
2005	06	11	04:58
2005	06	12	04:58
2005	06	13	04:58
2005	06	14	04:57
2005	06	15	04:57
2005	06	16	04:57
2005	06	17	04:57
2005	06	18	04:57
2005	06	19	04:57
2005	06	20	04:58
2005	06	21	04:58
2005	06	22	04:58
2005	06	23	04:58
2005	06	24	04:59
2005	06	25	04:59
2005	06	26	04:59
2005	06	27	05:00
2005	06	28	05:00
2005	06	29	05:01
2005	06	30	05:02
2005	07	01	05:02
2005	07	02	05:03
2005	07	03	05:04
2005	07	04	05:04
2005	07	05	05:05
2005	07	06	05:06
2005	07	07	05:07
2005	07	08	05:08
2005	07	09	05:09
2005	07	10	05:10
2005	07	11	05:11
2005	07	12	05:12
2005	07	13	05:13
2005	07	14	05:14
2005	07	15	05:16
2005	07	16	05:17
2005	07	17	05:18
2005	07	18	05:19
2005	07	19	05:21
2005	07	20	05:22
2005	07	21	05:23
2005	07	22	05:25
2005	07	23	05:26
2005	07	24	05:27
2005	07	25	05:29
2005	07	26	05:30
2005	07	27	05:32
2005	07	28	05:33
2005	07	29	05:35
2005	07	30	05:36
2005	07	31	05:38
2005	08	01	05:39
2005	08	02	05:41
2005	08	03	05:42
2005	08	04	05:44
2005	08	05	05:45
2005	08	06	05:47
2005	08	07	05:48
2005	08	08	05:50
2005	08	09	05:51
2005	08	10	05:53
2005	08	11	05:55
2005	08	12	05:56
2005	08	13	05:58
2005	08	14	05:59
2005	08	15	06:01
2005	08	16	06:03
2005	08	17	06:04
2005	08	18	06:06
2005	08	19	06:07
2005	08	20	06:09
2005	08	21	06:11
2005	08	22	06:12
2005	08	23	06:14
2005	08	24	06:15
2005	08	25	06:17
2005	08	26	06:19
2005	08	27	06:20
2005	08	28	06:22
2005	08	29	06:23
2005	08	30	06:25
2005	08	31	06:27
2006	04	01	06:52
2006	04	02	06:49
2006	04	03	06:47
2006	04	04	06:45
2006	04	05	06:43
2006	04	06	06:40
2006	04	07	06:38
2006	04	08	06:36
2006	04	09	06:34
2006	04	10	06:31
2006	04	11	06:29
2006	04	12	06:27
2006	04	13	06:25
2006	04	14	06:23
2006	04	15	06:20
2006	04	16	06:18
2006	04	17	06:16
2006	04	18	06:14
2006	04	19	06:12
2006	04	20	06:10
2006	04	21	06:08
2006	04	22	06:06
2006	04	23	06:04
2006	04	24	06:01
2006	04	25	05:59
2006	04	26	05:57
2006	04	27	05:55
2006	04	28	05:53
2006	04	29	05:52
2006	04	30	05:50
2006	05	01	05:48
2006	05	02	05:46
2006	05	03	05:44
2006	05	04	05:42
2006	05	05	05:40
2006	05	06	05:39
2006	05	07	05:37
2006	05	08	05:35
2006	05	09	05:33
2006	05	10	05:32
2006	05	11	05:30
2006	05	12	05:28
2006	05	13	05:27
2006	05	14	05:25
2006	05	15	05:24
2006	05	16	05:22
2006	05	17	05:21
2006	05	18	05:19
2006	05	19	05:18
2006	05	20	05:17
2006	05	21	05:15
2006	05	22	05:14
2006	05	23	05:13
2006	05	24	05:12
2006	05	25	05:11
2006	05	26	05:10
2006	05	27	05:08
2006	05	28	05:07
2006	05	29	05:06
2006	05	30	05:06
2006	05	31	05:05
2006	06	01	05:04
2006	06	02	05:03
2006	06	03	05:02
2006	06	04	05:02
2006	06	05	05:01
2006	06	06	05:00
2006	06	07	05:00
2006	06	08	04:59
2006	06	09	04:59
2006	06	10	04:59
2006	06	11	04:58
2006	06	12	04:58
2006	06	13	04:58
2006	06	14	04:57
2006	06	15	04:57
2006	06	16	04:57
2006	06	17	04:57
2006	06	18	04:57
2006	06	19	04:57
2006	06	20	04:57
2006	06	21	04:58
2006	06	22	04:58
2006	06	23	04:58
2006	06	24	04:58
2006	06	25	04:59
2006	06	26	04:59
2006	06	27	05:00
2006	06	28	05:00
2006	06	29	05:01
2006	06	30	05:01
2006	07	01	05:02
2006	07	02	05:03
2006	07	03	05:04
2006	07	04	05:04
2006	07	05	05:05
2006	07	06	05:06
2006	07	07	05:07
2006	07	08	05:08
2006	07	09	05:09
2006	07	10	05:10
2006	07	11	05:11
2006	07	12	05:12
2006	07	13	05:13
2006	07	14	05:14
2006	07	15	05:15
2006	07	16	05:17
2006	07	17	05:18
2006	07	18	05:19
2006	07	19	05:20
2006	07	20	05:22
2006	07	21	05:23
2006	07	22	05:24
2006	07	23	05:26
2006	07	24	05:27
2006	07	25	05:28
2006	07	26	05:30
2006	07	27	05:31
2006	07	28	05:33
2006	07	29	05:34
2006	07	30	05:36
2006	07	31	05:37
2006	08	01	05:39
2006	08	02	05:40
2006	08	03	05:42
2006	08	04	05:43
2006	08	05	05:45
2006	08	06	05:46
2006	08	07	05:48
2006	08	08	05:49
2006	08	09	05:51
2006	08	10	05:53
2006	08	11	05:54
2006	08	12	05:56
2006	08	13	05:57
2006	08	14	05:59
2006	08	15	06:01
2006	08	16	06:02
2006	08	17	06:04
2006	08	18	06:05
2006	08	19	06:07
2006	08	20	06:09
2006	08	21	06:10
2006	08	22	06:12
2006	08	23	06:13
2006	08	24	06:15
2006	08	25	06:17
2006	08	26	06:18
2006	08	27	06:20
2006	08	28	06:21
2006	08	29	06:23
2006	08	30	06:25
2006	08	31	06:26
2007	04	01	06:52
2007	04	02	06:50
2007	04	03	06:48
2007	04	04	06:45
2007	04	05	06:43
2007	04	06	06:41
2007	04	07	06:39
2007	04	08	06:36
2007	04	09	06:34
2007	04	10	06:32
2007	04	11	06:30
2007	04	12	06:27
2007	04	13	06:25
2007	04	14	06:23
2007	04	15	06:21
2007	04	16	06:19
2007	04	17	06:17
2007	04	18	06:14
2007	04	19	06:12
2007	04	20	06:10
2007	04	21	06:08
2007	04	22	06:06
2007	04	23	06:04
2007	04	24	06:02
2007	04	25	06:00
2007	04	26	05:58
2007	04	27	05:56
2007	04	28	05:54
2007	04	29	05:52
2007	04	30	05:50
2007	05	01	05:48
2007	05	02	05:46
2007	05	03	05:44
2007	05	04	05:43
2007	05	05	05:41
2007	05	06	05:39
2007	05	07	05:37
2007	05	08	05:35
2007	05	09	05:34
2007	05	10	05:32
2007	05	11	05:30
2007	05	12	05:29
2007	05	13	05:27
2007	05	14	05:26
2007	05	15	05:24
2007	05	16	05:23
2007	05	17	05:21
2007	05	18	05:20
2007	05	19	05:18
2007	05	20	05:17
2007	05	21	05:16
2007	05	22	05:14
2007	05	23	05:13
2007	05	24	05:12
2007	05	25	05:11
2007	05	26	05:10
2007	05	27	05:09
2007	05	28	05:08
2007	05	29	05:07
2007	05	30	05:06
2007	05	31	05:05
2007	06	01	05:04
2007	06	02	05:03
2007	06	03	05:03
2007	06	04	05:02
2007	06	05	05:01
2007	06	06	05:01
2007	06	07	05:00
2007	06	08	04:59
2007	06	09	04:59
2007	06	10	04:59
2007	06	11	04:58
2007	06	12	04:58
2007	06	13	04:58
2007	06	14	04:58
2007	06	15	04:57
2007	06	16	04:57
2007	06	17	04:57
2007	06	18	04:57
2007	06	19	04:57
2007	06	20	04:57
2007	06	21	04:58
2007	06	22	04:58
2007	06	23	04:58
2007	06	24	04:58
2007	06	25	04:59
2007	06	26	04:59
2007	06	27	05:00
2007	06	28	05:00
2007	06	29	05:01
2007	06	30	05:01
2007	07	01	05:02
2007	07	02	05:03
2007	07	03	05:03
2007	07	04	05:04
2007	07	05	05:05
2007	07	06	05:06
2007	07	07	05:07
2007	07	08	05:08
2007	07	09	05:09
2007	07	10	05:10
2007	07	11	05:11
2007	07	12	05:12
2007	07	13	05:13
2007	07	14	05:14
2007	07	15	05:15
2007	07	16	05:16
2007	07	17	05:18
2007	07	18	05:19
2007	07	19	05:20
2007	07	20	05:21
2007	07	21	05:23
2007	07	22	05:24
2007	07	23	05:25
2007	07	24	05:27
2007	07	25	05:28
2007	07	26	05:30
2007	07	27	05:31
2007	07	28	05:32
2007	07	29	05:34
2007	07	30	05:35
2007	07	31	05:37
2007	08	01	05:38
2007	08	02	05:40
2007	08	03	05:41
2007	08	04	05:43
2007	08	05	05:44
2007	08	06	05:46
2007	08	07	05:48
2007	08	08	05:49
2007	08	09	05:51
2007	08	10	05:52
2007	08	11	05:54
2007	08	12	05:55
2007	08	13	05:57
2007	08	14	05:59
2007	08	15	06:00
2007	08	16	06:02
2007	08	17	06:03
2007	08	18	06:05
2007	08	19	06:07
2007	08	20	06:08
2007	08	21	06:10
2007	08	22	06:11
2007	08	23	06:13
2007	08	24	06:15
2007	08	25	06:16
2007	08	26	06:18
2007	08	27	06:19
2007	08	28	06:21
2007	08	29	06:23
2007	08	30	06:24
2007	08	31	06:26
2008	04	01	06:50
2008	04	02	06:48
2008	04	03	06:46
2008	04	04	06:44
2008	04	05	06:41
2008	04	06	06:39
2008	04	07	06:37
2008	04	08	06:35
2008	04	09	06:32
2008	04	10	06:30
2008	04	11	06:28
2008	04	12	06:26
2008	04	13	06:24
2008	04	14	06:21
2008	04	15	06:19
2008	04	16	06:17
2008	04	17	06:15
2008	04	18	06:13
2008	04	19	06:11
2008	04	20	06:09
2008	04	21	06:07
2008	04	22	06:05
2008	04	23	06:02
2008	04	24	06:00
2008	04	25	05:58
2008	04	26	05:56
2008	04	27	05:54
2008	04	28	05:53
2008	04	29	05:51
2008	04	30	05:49
2008	05	01	05:47
2008	05	02	05:45
2008	05	03	05:43
2008	05	04	05:41
2008	05	05	05:39
2008	05	06	05:38
2008	05	07	05:36
2008	05	08	05:34
2008	05	09	05:33
2008	05	10	05:31
2008	05	11	05:29
2008	05	12	05:28
2008	05	13	05:26
2008	05	14	05:25
2008	05	15	05:23
2008	05	16	05:22
2008	05	17	05:20
2008	05	18	05:19
2008	05	19	05:17
2008	05	20	05:16
2008	05	21	05:15
2008	05	22	05:14
2008	05	23	05:12
2008	05	24	05:11
2008	05	25	05:10
2008	05	26	05:09
2008	05	27	05:08
2008	05	28	05:07
2008	05	29	05:06
2008	05	30	05:05
2008	05	31	05:04
2008	06	01	05:03
2008	06	02	05:03
2008	06	03	05:02
2008	06	04	05:01
2008	06	05	05:01
2008	06	06	05:00
2008	06	07	05:00
2008	06	08	04:59
2008	06	09	04:59
2008	06	10	04:58
2008	06	11	04:58
2008	06	12	04:58
2008	06	13	04:58
2008	06	14	04:57
2008	06	15	04:57
2008	06	16	04:57
2008	06	17	04:57
2008	06	18	04:57
2008	06	19	04:57
2008	06	20	04:58
2008	06	21	04:58
2008	06	22	04:58
2008	06	23	04:58
2008	06	24	04:59
2008	06	25	04:59
2008	06	26	05:00
2008	06	27	05:00
2008	06	28	05:01
2008	06	29	05:01
2008	06	30	05:02
2008	07	01	05:02
2008	07	02	05:03
2008	07	03	05:04
2008	07	04	05:05
2008	07	05	05:06
2008	07	06	05:06
2008	07	07	05:07
2008	07	08	05:08
2008	07	09	05:09
2008	07	10	05:10
2008	07	11	05:11
2008	07	12	05:13
2008	07	13	05:14
2008	07	14	05:15
2008	07	15	05:16
2008	07	16	05:17
2008	07	17	05:18
2008	07	18	05:20
2008	07	19	05:21
2008	07	20	05:22
2008	07	21	05:24
2008	07	22	05:25
2008	07	23	05:26
2008	07	24	05:28
2008	07	25	05:29
2008	07	26	05:31
2008	07	27	05:32
2008	07	28	05:34
2008	07	29	05:35
2008	07	30	05:36
2008	07	31	05:38
2008	08	01	05:39
2008	08	02	05:41
2008	08	03	05:43
2008	08	04	05:44
2008	08	05	05:46
2008	08	06	05:47
2008	08	07	05:49
2008	08	08	05:50
2008	08	09	05:52
2008	08	10	05:53
2008	08	11	05:55
2008	08	12	05:57
2008	08	13	05:58
2008	08	14	06:00
2008	08	15	06:01
2008	08	16	06:03
2008	08	17	06:05
2008	08	18	06:06
2008	08	19	06:08
2008	08	20	06:09
2008	08	21	06:11
2008	08	22	06:13
2008	08	23	06:14
2008	08	24	06:16
2008	08	25	06:17
2008	08	26	06:19
2008	08	27	06:21
2008	08	28	06:22
2008	08	29	06:24
2008	08	30	06:25
2008	08	31	06:27
2009	04	01	06:51
2009	04	02	06:49
2009	04	03	06:46
2009	04	04	06:44
2009	04	05	06:42
2009	04	06	06:40
2009	04	07	06:37
2009	04	08	06:35
2009	04	09	06:33
2009	04	10	06:31
2009	04	11	06:29
2009	04	12	06:26
2009	04	13	06:24
2009	04	14	06:22
2009	04	15	06:20
2009	04	16	06:18
2009	04	17	06:15
2009	04	18	06:13
2009	04	19	06:11
2009	04	20	06:09
2009	04	21	06:07
2009	04	22	06:05
2009	04	23	06:03
2009	04	24	06:01
2009	04	25	05:59
2009	04	26	05:57
2009	04	27	05:55
2009	04	28	05:53
2009	04	29	05:51
2009	04	30	05:49
2009	05	01	05:47
2009	05	02	05:45
2009	05	03	05:43
2009	05	04	05:42
2009	05	05	05:40
2009	05	06	05:38
2009	05	07	05:36
2009	05	08	05:35
2009	05	09	05:33
2009	05	10	05:31
2009	05	11	05:30
2009	05	12	05:28
2009	05	13	05:26
2009	05	14	05:25
2009	05	15	05:23
2009	05	16	05:22
2009	05	17	05:20
2009	05	18	05:19
2009	05	19	05:18
2009	05	20	05:16
2009	05	21	05:15
2009	05	22	05:14
2009	05	23	05:13
2009	05	24	05:11
2009	05	25	05:10
2009	05	26	05:09
2009	05	27	05:08
2009	05	28	05:07
2009	05	29	05:06
2009	05	30	05:05
2009	05	31	05:04
2009	06	01	05:04
2009	06	02	05:03
2009	06	03	05:02
2009	06	04	05:01
2009	06	05	05:01
2009	06	06	05:00
2009	06	07	05:00
2009	06	08	04:59
2009	06	09	04:59
2009	06	10	04:58
2009	06	11	04:58
2009	06	12	04:58
2009	06	13	04:58
2009	06	14	04:57
2009	06	15	04:57
2009	06	16	04:57
2009	06	17	04:57
2009	06	18	04:57
2009	06	19	04:57
2009	06	20	04:58
2009	06	21	04:58
2009	06	22	04:58
2009	06	23	04:58
2009	06	24	04:59
2009	06	25	04:59
2009	06	26	04:59
2009	06	27	05:00
2009	06	28	05:00
2009	06	29	05:01
2009	06	30	05:02
2009	07	01	05:02
2009	07	02	05:03
2009	07	03	05:04
2009	07	04	05:05
2009	07	05	05:05
2009	07	06	05:06
2009	07	07	05:07
2009	07	08	05:08
2009	07	09	05:09
2009	07	10	05:10
2009	07	11	05:11
2009	07	12	05:12
2009	07	13	05:13
2009	07	14	05:15
2009	07	15	05:16
2009	07	16	05:17
2009	07	17	05:18
2009	07	18	05:19
2009	07	19	05:21
2009	07	20	05:22
2009	07	21	05:23
2009	07	22	05:25
2009	07	23	05:26
2009	07	24	05:27
2009	07	25	05:29
2009	07	26	05:30
2009	07	27	05:32
2009	07	28	05:33
2009	07	29	05:35
2009	07	30	05:36
2009	07	31	05:38
2009	08	01	05:39
2009	08	02	05:41
2009	08	03	05:42
2009	08	04	05:44
2009	08	05	05:45
2009	08	06	05:47
2009	08	07	05:48
2009	08	08	05:50
2009	08	09	05:51
2009	08	10	05:53
2009	08	11	05:55
2009	08	12	05:56
2009	08	13	05:58
2009	08	14	05:59
2009	08	15	06:01
2009	08	16	06:03
2009	08	17	06:04
2009	08	18	06:06
2009	08	19	06:07
2009	08	20	06:09
2009	08	21	06:11
2009	08	22	06:12
2009	08	23	06:14
2009	08	24	06:15
2009	08	25	06:17
2009	08	26	06:19
2009	08	27	06:20
2009	08	28	06:22
2009	08	29	06:23
2009	08	30	06:25
2009	08	31	06:27
2010	04	01	06:51
2010	04	02	06:49
2010	04	03	06:47
2010	04	04	06:45
2010	04	05	06:42
2010	04	06	06:40
2010	04	07	06:38
2010	04	08	06:36
2010	04	09	06:33
2010	04	10	06:31
2010	04	11	06:29
2010	04	12	06:27
2010	04	13	06:25
2010	04	14	06:22
2010	04	15	06:20
2010	04	16	06:18
2010	04	17	06:16
2010	04	18	06:14
2010	04	19	06:12
2010	04	20	06:10
2010	04	21	06:08
2010	04	22	06:06
2010	04	23	06:03
2010	04	24	06:01
2010	04	25	05:59
2010	04	26	05:57
2010	04	27	05:55
2010	04	28	05:53
2010	04	29	05:51
2010	04	30	05:50
2010	05	01	05:48
2010	05	02	05:46
2010	05	03	05:44
2010	05	04	05:42
2010	05	05	05:40
2010	05	06	05:39
2010	05	07	05:37
2010	05	08	05:35
2010	05	09	05:33
2010	05	10	05:32
2010	05	11	05:30
2010	05	12	05:28
2010	05	13	05:27
2010	05	14	05:25
2010	05	15	05:24
2010	05	16	05:22
2010	05	17	05:21
2010	05	18	05:19
2010	05	19	05:18
2010	05	20	05:17
2010	05	21	05:15
2010	05	22	05:14
2010	05	23	05:13
2010	05	24	05:12
2010	05	25	05:11
2010	05	26	05:10
2010	05	27	05:08
2010	05	28	05:07
2010	05	29	05:06
2010	05	30	05:06
2010	05	31	05:05
2010	06	01	05:04
2010	06	02	05:03
2010	06	03	05:02
2010	06	04	05:02
2010	06	05	05:01
2010	06	06	05:00
2010	06	07	05:00
2010	06	08	04:59
2010	06	09	04:59
2010	06	10	04:59
2010	06	11	04:58
2010	06	12	04:58
2010	06	13	04:58
2010	06	14	04:58
2010	06	15	04:57
2010	06	16	04:57
2010	06	17	04:57
2010	06	18	04:57
2010	06	19	04:57
2010	06	20	04:58
2010	06	21	04:58
2010	06	22	04:58
2010	06	23	04:58
2010	06	24	04:59
2010	06	25	04:59
2010	06	26	04:59
2010	06	27	05:00
2010	06	28	05:00
2010	06	29	05:01
2010	06	30	05:01
2010	07	01	05:02
2010	07	02	05:03
2010	07	03	05:04
2010	07	04	05:04
2010	07	05	05:05
2010	07	06	05:06
2010	07	07	05:07
2010	07	08	05:08
2010	07	09	05:09
2010	07	10	05:10
2010	07	11	05:11
2010	07	12	05:12
2010	07	13	05:13
2010	07	14	05:14
2010	07	15	05:15
2010	07	16	05:17
2010	07	17	05:18
2010	07	18	05:19
2010	07	19	05:20
2010	07	20	05:22
2010	07	21	05:23
2010	07	22	05:24
2010	07	23	05:26
2010	07	24	05:27
2010	07	25	05:29
2010	07	26	05:30
2010	07	27	05:31
2010	07	28	05:33
2010	07	29	05:34
2010	07	30	05:36
2010	07	31	05:37
2010	08	01	05:39
2010	08	02	05:40
2010	08	03	05:42
2010	08	04	05:43
2010	08	05	05:45
2010	08	06	05:46
2010	08	07	05:48
2010	08	08	05:50
2010	08	09	05:51
2010	08	10	05:53
2010	08	11	05:54
2010	08	12	05:56
2010	08	13	05:57
2010	08	14	05:59
2010	08	15	06:01
2010	08	16	06:02
2010	08	17	06:04
2010	08	18	06:05
2010	08	19	06:07
2010	08	20	06:09
2010	08	21	06:10
2010	08	22	06:12
2010	08	23	06:13
2010	08	24	06:15
2010	08	25	06:17
2010	08	26	06:18
2010	08	27	06:20
2010	08	28	06:21
2010	08	29	06:23
2010	08	30	06:25
2010	08	31	06:26
2011	04	01	06:52
2011	04	02	06:50
2011	04	03	06:48
2011	04	04	06:45
2011	04	05	06:43
2011	04	06	06:41
2011	04	07	06:38
2011	04	08	06:36
2011	04	09	06:34
2011	04	10	06:32
2011	04	11	06:30
2011	04	12	06:27
2011	04	13	06:25
2011	04	14	06:23
2011	04	15	06:21
2011	04	16	06:19
2011	04	17	06:17
2011	04	18	06:14
2011	04	19	06:12
2011	04	20	06:10
2011	04	21	06:08
2011	04	22	06:06
2011	04	23	06:04
2011	04	24	06:02
2011	04	25	06:00
2011	04	26	05:58
2011	04	27	05:56
2011	04	28	05:54
2011	04	29	05:52
2011	04	30	05:50
2011	05	01	05:48
2011	05	02	05:46
2011	05	03	05:44
2011	05	04	05:43
2011	05	05	05:41
2011	05	06	05:39
2011	05	07	05:37
2011	05	08	05:35
2011	05	09	05:34
2011	05	10	05:32
2011	05	11	05:30
2011	05	12	05:29
2011	05	13	05:27
2011	05	14	05:26
2011	05	15	05:24
2011	05	16	05:23
2011	05	17	05:21
2011	05	18	05:20
2011	05	19	05:18
2011	05	20	05:17
2011	05	21	05:16
2011	05	22	05:14
2011	05	23	05:13
2011	05	24	05:12
2011	05	25	05:11
2011	05	26	05:10
2011	05	27	05:09
2011	05	28	05:08
2011	05	29	05:07
2011	05	30	05:06
2011	05	31	05:05
2011	06	01	05:04
2011	06	02	05:03
2011	06	03	05:03
2011	06	04	05:02
2011	06	05	05:01
2011	06	06	05:01
2011	06	07	05:00
2011	06	08	05:00
2011	06	09	04:59
2011	06	10	04:59
2011	06	11	04:58
2011	06	12	04:58
2011	06	13	04:58
2011	06	14	04:58
2011	06	15	04:57
2011	06	16	04:57
2011	06	17	04:57
2011	06	18	04:57
2011	06	19	04:57
2011	06	20	04:57
2011	06	21	04:58
2011	06	22	04:58
2011	06	23	04:58
2011	06	24	04:58
2011	06	25	04:59
2011	06	26	04:59
2011	06	27	05:00
2011	06	28	05:00
2011	06	29	05:01
2011	06	30	05:01
2011	07	01	05:02
2011	07	02	05:03
2011	07	03	05:03
2011	07	04	05:04
2011	07	05	05:05
2011	07	06	05:06
2011	07	07	05:07
2011	07	08	05:08
2011	07	09	05:09
2011	07	10	05:10
2011	07	11	05:11
2011	07	12	05:12
2011	07	13	05:13
2011	07	14	05:14
2011	07	15	05:15
2011	07	16	05:16
2011	07	17	05:18
2011	07	18	05:19
2011	07	19	05:20
2011	07	20	05:21
2011	07	21	05:23
2011	07	22	05:24
2011	07	23	05:25
2011	07	24	05:27
2011	07	25	05:28
2011	07	26	05:30
2011	07	27	05:31
2011	07	28	05:32
2011	07	29	05:34
2011	07	30	05:35
2011	07	31	05:37
2011	08	01	05:38
2011	08	02	05:40
2011	08	03	05:41
2011	08	04	05:43
2011	08	05	05:45
2011	08	06	05:46
2011	08	07	05:48
2011	08	08	05:49
2011	08	09	05:51
2011	08	10	05:52
2011	08	11	05:54
2011	08	12	05:55
2011	08	13	05:57
2011	08	14	05:59
2011	08	15	06:00
2011	08	16	06:02
2011	08	17	06:03
2011	08	18	06:05
2011	08	19	06:07
2011	08	20	06:08
2011	08	21	06:10
2011	08	22	06:11
2011	08	23	06:13
2011	08	24	06:15
2011	08	25	06:16
2011	08	26	06:18
2011	08	27	06:19
2011	08	28	06:21
2011	08	29	06:23
2011	08	30	06:24
2011	08	31	06:26
2012	04	01	06:50
2012	04	02	06:48
2012	04	03	06:46
2012	04	04	06:44
2012	04	05	06:41
2012	04	06	06:39
2012	04	07	06:37
2012	04	08	06:35
2012	04	09	06:32
2012	04	10	06:30
2012	04	11	06:28
2012	04	12	06:26
2012	04	13	06:24
2012	04	14	06:21
2012	04	15	06:19
2012	04	16	06:17
2012	04	17	06:15
2012	04	18	06:13
2012	04	19	06:11
2012	04	20	06:09
2012	04	21	06:07
2012	04	22	06:04
2012	04	23	06:02
2012	04	24	06:00
2012	04	25	05:58
2012	04	26	05:56
2012	04	27	05:54
2012	04	28	05:52
2012	04	29	05:51
2012	04	30	05:49
2012	05	01	05:47
2012	05	02	05:45
2012	05	03	05:43
2012	05	04	05:41
2012	05	05	05:39
2012	05	06	05:38
2012	05	07	05:36
2012	05	08	05:34
2012	05	09	05:32
2012	05	10	05:31
2012	05	11	05:29
2012	05	12	05:28
2012	05	13	05:26
2012	05	14	05:25
2012	05	15	05:23
2012	05	16	05:22
